gene,f_score,p_value
ENSG00000132970.14,258.268205051949,1.408198172504242e-46
ENSG00000117758.14,257.12909210243873,2.035505197993118e-46
ENSG00000133116.8,255.0688042270962,3.9693840684936314e-46
ENSG00000157570.12,254.4569728199238,4.841934678831178e-46
ENSG00000177303.10,253.89217197884213,5.817642020111469e-46
ENSG00000185291.12,253.46272885087646,6.6897525162895875e-46
ENSG00000164659.15,253.05222039625696,7.645969890373303e-46
ENSG00000228027.1,252.37792692658098,9.523836341224871e-46
ENSG00000107738.20,252.28816229318238,9.8065448388214e-46
ENSG00000276170.4,250.8645225580731,1.560320008867124e-45
ENSG00000160867.15,250.59250584870944,1.705290340212239e-45
ENSG00000204301.6,250.4877238772781,1.7646770905378685e-45
ENSG00000274736.5,249.46624685746764,2.4644040905895777e-45
ENSG00000183722.9,249.46249180453862,2.4674338189733267e-45
ENSG00000109501.14,247.33592133221634,4.9531993091813847e-45
ENSG00000106034.18,247.28003717828958,5.0448838387776636e-45
ENSG00000066629.18,246.88648962854035,5.74067231330724e-45
ENSG00000131747.15,246.67255463454427,6.158550496119238e-45
ENSG00000254122.3,246.58621924448784,6.335720820799545e-45
ENSG00000180198.16,246.53622704788012,6.440641706162918e-45
ENSG00000091428.18,246.49966961614535,6.518469474370788e-45
ENSG00000167850.4,246.0152779934922,7.643469737317007e-45
ENSG00000136732.16,245.1123235786492,1.0287515855874592e-44
ENSG00000141934.10,244.84320117547463,1.1240780834692812e-44
ENSG00000160801.14,243.8484514913951,1.5601952173769548e-44
ENSG00000146250.7,243.72998125664708,1.6223684311308905e-44
ENSG00000179921.15,243.71622880228713,1.6297450654520656e-44
ENSG00000154188.10,243.65760968732636,1.6615672716778255e-44
ENSG00000078081.8,243.35630482670408,1.8352549035961377e-44
ENSG00000018625.15,242.52967383294973,2.411303553303749e-44
ENSG00000151702.17,242.45154979393357,2.474364463796486e-44
ENSG00000147526.20,241.92934261557025,2.9406211409403787e-44
ENSG00000260468.1,241.2036906546011,3.738666307859188e-44
ENSG00000175832.13,241.0074680628466,3.989632116006787e-44
ENSG00000131634.14,240.9446054211892,4.073558529936098e-44
ENSG00000169860.7,240.34732846936353,4.964972235720656e-44
ENSG00000144218.19,240.34398633952188,4.970475457172486e-44
ENSG00000090006.18,240.1489077710091,5.302541259230304e-44
ENSG00000200253.1,239.8034414053589,5.946223965309549e-44
ENSG00000236242.1,239.71368404355877,6.125943148623015e-44
ENSG00000157510.14,239.26483956219633,7.109920010435839e-44
ENSG00000176697.20,238.9796709196844,7.816054180747358e-44
ENSG00000137857.17,238.85306458009805,8.151738938544194e-44
ENSG00000145861.9,238.66852525628434,8.667136089716429e-44
ENSG00000035664.11,238.03907769437484,1.0684283857182843e-43
ENSG00000077152.11,237.92742130027247,1.1088510119868242e-43
ENSG00000174099.12,237.25065367558537,1.3889341789000266e-43
ENSG00000032444.17,236.9640978450649,1.5280031106275535e-43
ENSG00000243364.8,236.17418989157434,1.9881612092616002e-43
ENSG00000187688.15,236.08031454789486,2.0513855403356847e-43
ENSG00000131055.5,235.92944151602342,2.1572557947173853e-43
ENSG00000159200.18,235.37524507101668,2.5954892211370522e-43
ENSG00000087589.16,235.1855956671819,2.7651527794408937e-43
ENSG00000169271.3,234.75927095901517,3.1883451943237006e-43
ENSG00000161940.11,234.49003070563882,3.4885356302131712e-43
ENSG00000267280.5,234.18798320127468,3.859230770694989e-43
ENSG00000185483.12,234.15807215130488,3.8980275362818574e-43
ENSG00000046653.15,234.0964231979509,3.979230775003924e-43
ENSG00000145990.11,233.9304500811028,4.20639365323893e-43
ENSG00000122707.12,233.79725151158848,4.398086314839335e-43
ENSG00000166025.18,233.67789108850204,4.577307157299696e-43
ENSG00000136546.16,233.55811193433175,4.764531751376591e-43
ENSG00000136842.14,232.74811412437506,6.249343460928069e-43
ENSG00000112964.14,232.41877135935277,6.978736288656319e-43
ENSG00000104918.8,232.3965494417369,7.030924803655516e-43
ENSG00000188015.10,232.38803445498095,7.051026094933656e-43
ENSG00000273877.4,231.96889411794092,8.11525791918663e-43
ENSG00000067082.15,231.76771690302272,8.681964789082613e-43
ENSG00000077943.8,231.05261051988901,1.103806854496785e-42
ENSG00000121075.11,230.93667347962716,1.1476486060255361e-42
ENSG00000143171.13,230.86972767725953,1.173756438431082e-42
ENSG00000180871.8,230.70420765252132,1.240896449059257e-42
ENSG00000146966.13,230.49382272774275,1.3318321109995513e-42
ENSG00000100034.14,229.84670257988006,1.655697240923771e-42
ENSG00000173457.11,228.76540505250492,2.3830638550613058e-42
ENSG00000100307.13,228.50345812093235,2.603073986493375e-42
ENSG00000087074.8,227.89131425085637,3.20011558329417e-42
ENSG00000135540.11,227.65864987087,3.461561215239606e-42
ENSG00000129467.14,227.61516598598024,3.5127530325583525e-42
ENSG00000164932.13,226.98854740224027,4.3407749505807826e-42
ENSG00000287382.1,226.63076191282363,4.8987931126401626e-42
ENSG00000138685.17,226.49852187191075,5.1228127820114903e-42
ENSG00000000938.13,226.25513659721994,5.5623626852512266e-42
ENSG00000110203.9,225.6146826132441,6.908698932472343e-42
ENSG00000176438.12,224.7488490428566,9.264050445241437e-42
ENSG00000261468.1,224.30327118190812,1.0775297309321688e-41
ENSG00000123243.15,224.26327056782438,1.0922523207872772e-41
ENSG00000162407.9,224.23170366713086,1.1040133017415674e-41
ENSG00000200378.1,223.9892640016869,1.1986835932791997e-41
ENSG00000150977.10,223.75122801898132,1.2995654987745141e-41
ENSG00000109846.9,223.23489586441292,1.548685014061555e-41
ENSG00000186188.11,222.96681333458443,1.6964111749669197e-41
ENSG00000161281.11,222.9651296785885,1.6973823251409925e-41
ENSG00000172458.4,222.78912641578324,1.8020451580360043e-41
ENSG00000177494.6,222.13038326120855,2.2546828342094988e-41
ENSG00000154764.6,221.9713156090878,2.380123763748597e-41
ENSG00000185432.12,221.75013770031973,2.566280840677834e-41
ENSG00000264230.9,221.38185657255562,2.9092696828468587e-41
ENSG00000168484.12,221.36228361790307,2.9287360549850153e-41
ENSG00000287255.1,220.87775799766138,3.4546429132699685e-41
ENSG00000138363.15,220.6150687007253,3.7784155065140105e-41
ENSG00000211445.12,220.00267444310975,4.656602094888882e-41
ENSG00000163513.19,219.8208317489237,4.954898677194956e-41
ENSG00000137393.10,219.19198218408582,6.142474852092227e-41
ENSG00000174059.17,218.66301155243832,7.36036136774447e-41
ENSG00000135049.16,218.5805687458261,7.570908395511262e-41
ENSG00000179913.11,218.53337700885814,7.694140753893266e-41
ENSG00000165124.18,218.44792101539494,7.922443035374661e-41
ENSG00000130164.14,218.42622444718933,7.981482230322116e-41
ENSG00000073712.15,218.39794610824987,8.059095075538034e-41
ENSG00000148541.13,218.2425288891938,8.499385617573195e-41
ENSG00000103175.11,217.87485773674214,9.639609126615915e-41
ENSG00000129250.12,217.56726234084624,1.0710778847423797e-40
ENSG00000179820.16,215.61333273135915,2.0941086400091095e-40
ENSG00000117114.20,215.40668766960903,2.248242990845086e-40
ENSG00000058335.16,215.03388974199206,2.5557089475731e-40
ENSG00000164850.15,214.99512324044042,2.5900132311878617e-40
ENSG00000035141.8,214.8803983001241,2.6942662605550266e-40
ENSG00000122756.15,214.8585186721158,2.7146222142767452e-40
ENSG00000164047.6,214.753325875131,2.814667011239592e-40
ENSG00000110799.14,214.71940378250966,2.8477121970114773e-40
ENSG00000137872.17,214.46904863358625,3.10395397814556e-40
ENSG00000115602.17,214.10926072666282,3.513299543111704e-40
ENSG00000205213.14,213.61518850931566,4.16525814069453e-40
ENSG00000108387.15,213.50749768264475,4.322775158992473e-40
ENSG00000163788.14,213.07467643687318,5.018566994017968e-40
ENSG00000164855.16,213.0314734901846,5.09391711117661e-40
ENSG00000138801.9,212.98509293250228,5.176074487428436e-40
